time,co,no,no2,so2,o3
2022-01-07 09:00:00,159.85303,0.3536493,2.8150337,1.2112659,62.78347
2022-01-07 10:00:00,158.44937,0.39458582,2.587857,1.2025343,64.058105
2022-01-07 11:00:00,157.52357,0.3849493,2.4463854,1.1942372,65.22081
2022-01-07 12:00:00,156.85837,0.33877796,2.431502,1.1893373,66.22397
2022-01-07 13:00:00,156.97256,0.27126265,2.51956,1.181352,66.86632
2022-01-07 14:00:00,157.93753,0.18440029,2.7394154,1.1924257,67.14258
2022-01-07 15:00:00,159.53673,0.099373594,3.0554981,1.2170073,66.88337
2022-01-07 16:00:00,161.67397,0.053087357,3.4083722,1.2296642,66.17576
2022-01-07 17:00:00,164.25534,0.03421021,3.6720073,1.2543968,65.43986
2022-01-07 18:00:00,166.3429,0.029040372,3.7659714,1.2839345,64.74362
2022-01-07 19:00:00,167.7098,0.027823405,3.7252924,1.3056306,64.23676
2022-01-07 20:00:00,168.3959,0.026539195,3.5929663,1.3183335,63.98834
2022-01-07 21:00:00,168.64471,0.024473742,3.4227254,1.3147058,63.837128
2022-01-07 22:00:00,168.1047,0.021259107,3.2375562,1.294926,63.733906
2022-01-07 23:00:00,167.28836,0.017979411,3.0470917,1.2676454,63.620087
2022-01-08 00:00:00,166.52287,0.015265167,2.8607004,1.2478714,63.49228
2022-01-08 01:00:00,166.00159,0.013118002,2.7058241,1.2311647,63.322838
2022-01-08 02:00:00,165.50081,0.011695143,2.561941,1.2236805,63.175972
2022-01-08 03:00:00,164.61037,0.0110561075,2.459828,1.2159802,63.138073
2022-01-08 04:00:00,164.90501,0.01160903,2.4172091,1.2409686,62.952423
2022-01-08 05:00:00,164.96324,0.02176163,2.45575,1.2689847,62.87533
2022-01-08 06:00:00,165.61511,0.05748274,2.514568,1.2968789,62.731632
2022-01-08 07:00:00,165.6932,0.11795208,2.5968156,1.3332776,62.776035
2022-01-08 08:00:00,165.66139,0.20285806,2.634247,1.3642236,63.187366
2022-01-08 09:00:00,165.22803,0.29785228,2.5864341,1.3829741,63.83028
2022-01-08 10:00:00,164.05054,0.35125694,2.4898794,1.3923231,64.83948
2022-01-08 11:00:00,163.33324,0.3528962,2.450443,1.3825057,65.79199
2022-01-08 12:00:00,162.4877,0.31576523,2.4720964,1.369538,66.579575
2022-01-08 13:00:00,162.35251,0.25372145,2.5679047,1.3589777,67.17551
2022-01-08 14:00:00,163.54657,0.1723165,2.7531662,1.3637059,67.366554
2022-01-08 15:00:00,164.78801,0.09180384,2.9555004,1.3774227,67.227905
2022-01-08 16:00:00,166.51888,0.04610082,3.164838,1.3868191,66.76179
